,Unnamed: 0,date,open,high,low,close,volume,adj close,dates,SMA_close,EMA_close,SMA_high,EMA_high,SMA_low,EMA_low,SMA_open,EMA_open,color,CRUP,CRDOWN,cancel
425,425,2012-03-06,33.25,33.279999,32.619999,33.110001000000004,573800,33.110001000000004,2012-03-06,33.74000025,33.694619758966056,34.219999875,34.11556344803934,33.209999375,33.0997731648524,33.824999749999996,33.77231839526447,,,,
426,426,2012-03-07,33.119999,33.310001,32.91,33.119999,364900,33.119999,2012-03-07,33.661250125,33.5669262569736,34.06875,33.93654957069727,33.16499937500001,33.057601350440756,33.686249625,33.627358529650145,,,,
427,427,2012-03-08,33.110001000000004,33.490002000000004,33.040001000000004,33.07,633300,33.07,2012-03-08,33.59250025000001,33.456498199868356,34.00500025,33.83731677720898,33.1699995,33.05369016145392,33.64874975,33.51239018972789,,,,
428,428,2012-03-09,33.200001,35.310001,33.200001,34.740002000000004,1553400,34.740002000000004,2012-03-09,33.708750375,33.74172126656428,34.1137505,34.16457993782921,33.173749875,33.086203681130826,33.59375,33.442970369788355,green,,,
429,429,2012-03-12,34.689999,36.290001,34.599998,36.009998,1963300,36.009998,2012-03-12,34.033750125000005,34.24578276288333,34.38500075,34.63689572942272,33.35624975,33.422602418657306,33.70374975,33.72008784316872,green,,,
430,430,2012-03-13,36.509998,36.59,35.5,36.09,1001600,36.09,2012-03-13,34.243750125000005,34.655608815575924,34.64625075,35.070918900662114,33.629999624999996,33.88424632562235,34.07874975,34.340067878020115,green,,,
431,431,2012-03-14,36.0,36.0,34.799999,35.29000100000001,851500,35.29000100000001,2012-03-14,34.400000125,34.79658485655906,34.83375075,35.27738136718165,33.766249625,34.08774691992849,34.2787495,34.70894168290453,green,,,
432,432,2012-03-15,35.279999,35.48,34.779999,35.0,571600,35.0,2012-03-15,34.55375012500001,34.841788221768155,34.9687505,35.32240773003017,33.931249625,34.241580715499936,34.394999625,34.835843308925746,orange,,,
433,433,2012-03-16,34.900002,35.889999,34.830002,35.32,729300,35.32,2012-03-16,34.830000000000005,34.948057505819676,35.2950005,35.4485391233568,34.2075,34.372341000944395,34.601249875,34.85010079583114,,,,
434,434,2012-03-19,35.259998,35.32,34.540001000000004,34.98,1015600,34.98,2012-03-19,35.062500125,34.95515583785975,35.546250375,35.419974873721955,34.411250125,34.40959877851231,34.86874975,34.94118906342422,,,,
