,date,low,high,open,close,volume
239,2017-09-12,64.31000001,72.099999,68.00050102,65.81595665,5790576.03609577
240,2017-09-13,57.72110001,66.28021306,65.81595665,61.70524749,13065277.999850683
241,2017-09-14,43.99,62.74,61.7,44.87290965,15653175.805076448
242,2017-09-15,32.98110001,55.37737542,44.9999994,51.7990001,30207180.7909669
243,2017-09-16,49.21,56.76999983,51.7990001,51.925,10151152.94566357
244,2017-09-17,47.56466666,52.78,51.925,50.79,5207972.492050161
245,2017-09-18,50.58000008,57.44999976,50.79,56.24000024,8967607.188489009
246,2017-09-19,50.1,56.64059996,56.24000024,52.65409999,7025900.488351069
247,2017-09-20,51.00000002,55.0,52.82828251,51.65283825,3159958.4512964296
248,2017-09-21,44.93000001,52.48275188,51.65283825,46.48999974,6496671.384173021
249,2017-09-22,44.59755783,48.81513554,46.48999974,47.31000016,3393935.9291753694
250,2017-09-23,46.22531403,49.9,47.54176372,49.38265185,2902989.8385183797
251,2017-09-24,47.0155502,49.48986983,49.38265184,47.49658009,1145002.53494437
252,2017-09-25,47.2991824,53.0,47.49658009,52.38999997,4446098.5540855
253,2017-09-26,51.32157644,54.45,52.38895449,52.39799997,2480834.04255959
254,2017-09-27,52.15366667,57.50000098,52.39799997,57.07999991,5579650.1581851
255,2017-09-28,53.9,57.25096264,56.9994555,54.87785372,4158262.84758304
256,2017-09-29,50.3,54.97359996,54.9208351,53.09899658,3432239.7356133205
257,2017-09-30,52.72100066,56.0,53.09899642,55.54062255,2516885.45529944
258,2017-10-01,53.500201,55.7445607,55.51941545,55.02178391,1555974.5383647897
259,2017-10-02,52.94080948,55.08352846,55.0,53.33857394,1656972.02085944
260,2017-10-03,51.10000001,53.69999999,53.33857394,52.09387473,1428636.7089382
261,2017-10-04,50.38342399,53.0,52.09387472,51.21027061,1126952.5672411001
262,2017-10-05,50.01001367,51.88,51.21027061,51.777824,1000887.48778968
263,2017-10-06,51.30000006,52.84658745,51.40873615,52.16013105,1080197.02832693
264,2017-10-07,51.5,53.2,52.17512333,52.59999999,1202642.48551398
265,2017-10-08,52.30000042,55.0,52.60000002,53.4,1752441.16834844
266,2017-10-09,48.0,53.49350408,53.44478821,50.00000018,1906039.0771788
267,2017-10-10,49.5,51.70393223,50.00000002,50.5837205,1499805.45523896
268,2017-10-11,50.16000371,51.19999966,50.5837205,50.84820513,1282142.91120136
269,2017-10-12,50.60000059,59.89999999,50.8,59.6226318,6915789.260879691
270,2017-10-13,54.85,60.81138441,59.5,59.0,6978384.91128786
271,2017-10-14,58.30000017,66.77,59.24999998,64.0,5417003.415409439
272,2017-10-15,62.0,70.24999999,64.08685717,65.60247431,8322251.83573609
273,2017-10-16,62.24166666,66.46,65.7398002,64.85,3378608.4789465205
274,2017-10-17,58.45500021,64.96674092,64.84999992,59.126323,3653141.48857264
275,2017-10-18,52.90005635,61.97999984,59.19330787,60.58690956,6005207.79150484
276,2017-10-19,58.20000001,61.45126588,60.64345883,59.699,2739306.2567954403
277,2017-10-20,58.04081686,62.13,59.699,60.29999948,2607929.6207503797
278,2017-10-21,56.09833333,60.40813622,60.03,57.99113694,2027924.81278663
279,2017-10-22,55.5,58.5,58.0183527,56.34288184,1121710.63015961
280,2017-10-23,51.79999956,56.45408273,56.34288184,54.62864227,2702540.13281865
281,2017-10-24,52.1,58.92647756,54.62864227,55.41,3438564.06846069
282,2017-10-25,53.4411,56.36665999,55.61895984,56.06563183,1635063.28598525
283,2017-10-26,54.80683956,56.839,56.09430609,55.42318291,1137673.73531784
284,2017-10-27,54.7,55.94749028,55.45,54.93668834,895469.57388697
285,2017-10-28,53.7811,55.75017419,54.93668834,54.19560279,576182.18652926
286,2017-10-29,53.75501801,57.65008963,54.026238,56.71490333,2073089.1401389497
287,2017-10-30,55.61000105,58.8,56.68611196,56.2,1806780.0220025
288,2017-10-31,55.4713468,56.8823723,56.00000289,55.732879,916535.84758027
